Mouse.gene.name	Mouse.gene.stable.ID	Trait_name	P.VALUE	mapped_genes_human
Spon1	ENSMUSG00000038156	Alzheimer's disease	7e-11	SPON1
Sppl2c	ENSMUSG00000049506	Parkinson's disease	3e-14	SPPL2C
Srpk2	ENSMUSG00000062604	autism spectrum disorder	5e-11	SRPK2
Srpk2	ENSMUSG00000062604	schizophrenia	2e-12	SRPK2
Srr	ENSMUSG00000001323	autism spectrum disorder	7e-10	SRR
Srr	ENSMUSG00000001323	schizophrenia	3e-10	SRR
Stag1	ENSMUSG00000037286	autism spectrum disorder	3e-8	STAG1
Stag1	ENSMUSG00000037286	neuroticism	3e-14	STAG1
Stag1	ENSMUSG00000037286	schizophrenia	4e-15	STAG1
Stk24	ENSMUSG00000063410	neuroticism	7e-13	STK24
Stx1b	ENSMUSG00000030806	neuroticism	4e-11	STX1B
Sufu	ENSMUSG00000025231	schizophrenia	5e-9	SUFU
Syne1	ENSMUSG00000096054	bipolar disorder	4e-8	SYNE1
Syne2	ENSMUSG00000063450	unipolar depression	8e-10	SYNE2
Syngap1	ENSMUSG00000067629	autism spectrum disorder	6e-12	SYNGAP1
Syngap1	ENSMUSG00000067629	schizophrenia	4e-12	SYNGAP1
Synj1	ENSMUSG00000022973	Alzheimer's disease	3e-9	SYNJ1
Syt17	ENSMUSG00000058420	Parkinson's disease	9e-11	SYT17
Taok2	ENSMUSG00000059981	schizophrenia	8e-13	TAOK2
Tcf20	ENSMUSG00000041852	autism spectrum disorder	3e-8	TCF20
Tcf20	ENSMUSG00000041852	schizophrenia	6e-10	TCF20
Tcf4	ENSMUSG00000053477	autism spectrum disorder	5e-11	TCF4
Tcf4	ENSMUSG00000053477	neuroticism	9e-11	TCF4
Tcf4	ENSMUSG00000053477	schizophrenia	1e-12	TCF4
Tcf4	ENSMUSG00000053477	unipolar depression	4e-11	TCF4
Tenm2	ENSMUSG00000049336	unipolar depression	7e-9	TENM2
Tenm3	ENSMUSG00000031561	neuroticism	9e-11	TENM3
Tenm4	ENSMUSG00000048078	bipolar disorder	1e-9	TENM4
Tgm6	ENSMUSG00000027403	Alzheimer's disease	3e-8	TGM6
Thoc7	ENSMUSG00000053453	schizophrenia	1e-8	THOC7
Tmc5	ENSMUSG00000030650	Alzheimer's disease	1e-9	TMC5
Tmem106b	ENSMUSG00000029571	unipolar depression	2e-8	TMEM106B
Tmem132c	ENSMUSG00000034324	Alzheimer's disease	2e-8	TMEM132C
Tmem175	ENSMUSG00000013495	Parkinson's disease	1e-50	TMEM175
Tmem229b	ENSMUSG00000046157	Parkinson's disease	7e-14	TMEM229B
Tmtc1	ENSMUSG00000030306	schizophrenia	2e-11	TMTC1
Tnks	ENSMUSG00000031529	neuroticism	8e-11	TNKS
Tnrc6a	ENSMUSG00000052707	Alzheimer's disease	4e-8	TNRC6A
Tnxb	ENSMUSG00000033327	autism spectrum disorder	2e-10	TNXB
Tnxb	ENSMUSG00000033327	schizophrenia	2e-10	TNXB
Tomm40	ENSMUSG00000002984	Alzheimer's disease	1e-307	TOMM40
Tpm1	ENSMUSG00000032366	Parkinson's disease	9e-11	TPM1
Trank1	ENSMUSG00000062296	schizophrenia	3e-11	TRANK1
Trem2	ENSMUSG00000023992	Alzheimer's disease	5e-24	TREM2
Trim10	ENSMUSG00000073400	autism spectrum disorder	1e-16	TRIM10
Trim10	ENSMUSG00000073400	schizophrenia	1e-16	TRIM10
Trim26	ENSMUSG00000024457	autism spectrum disorder	7e-17	TRIM26
Trim26	ENSMUSG00000024457	schizophrenia	7e-17	TRIM26
Trim31	ENSMUSG00000058063	autism spectrum disorder	4e-14	TRIM31
Trim31	ENSMUSG00000058063	schizophrenia	4e-14	TRIM31
Trim31	ENSMUSG00000058063	unipolar depression	5e-13	TRIM31
Trim33	ENSMUSG00000033014	autism spectrum disorder	3e-8	TRIM33
Trim39	ENSMUSG00000045409	neuroticism	8e-9	TRIM39-RPP21
Tspan18	ENSMUSG00000027217	schizophrenia	1e-11	TSPAN18
Tusc3	ENSMUSG00000039530	schizophrenia	2e-8	TUSC3
Twf2	ENSMUSG00000023277	autism spectrum disorder	4e-8	TWF2
Twf2	ENSMUSG00000023277	schizophrenia	4e-8	TWF2
Tyr	ENSMUSG00000004651	neuroticism	5e-9	TYR
Tyr	ENSMUSG00000004651	unipolar depression	3e-10	TYR
Vrk2	ENSMUSG00000064090	autism spectrum disorder	1e-10	VRK2
Vrk2	ENSMUSG00000064090	neuroticism	6e-11	VRK2
Vrk2	ENSMUSG00000064090	schizophrenia	4e-13	VRK2
Vrk2	ENSMUSG00000064090	unipolar depression	4e-12	VRK2
Wnt3	ENSMUSG00000000125	neuroticism	3e-10	WNT3
Wnt3	ENSMUSG00000000125	Parkinson's disease	3e-17	WNT3
Wscd2	ENSMUSG00000063430	extraversion	1e-14	WSCD2
Xkr6	ENSMUSG00000035067	neuroticism	9e-31	XKR6
Ylpm1	ENSMUSG00000021244	neuroticism	3e-13	YLPM1
Ywhae	ENSMUSG00000020849	schizophrenia	1e-9	YWHAE
Zc3h7b	ENSMUSG00000022390	neuroticism	3e-18	ZC3H7B
Zcwpw1	ENSMUSG00000037108	Alzheimer's disease	3e-10	ZCWPW1
Zdhhc2	ENSMUSG00000039470	schizophrenia	3e-12	ZDHHC2
Zdhhc5	ENSMUSG00000034075	neuroticism	7e-11	ZDHHC5
Zfp536	ENSMUSG00000043456	schizophrenia	2e-9	ZNF536
Zfp804a	ENSMUSG00000070866	schizophrenia	2e-12	ZNF804A
Zfp867	ENSMUSG00000054519	schizophrenia	2e-8	ZNF823
Zkscan3	ENSMUSG00000021327	autism spectrum disorder	1e-19	ZKSCAN3
Zkscan3	ENSMUSG00000021327	schizophrenia	1e-19	ZKSCAN3
Znrd1	ENSMUSG00000036315	autism spectrum disorder	8e-9	ZNRD1
Znrd1	ENSMUSG00000036315	bipolar disorder	8e-9	ZNRD1
Znrd1	ENSMUSG00000036315	schizophrenia	8e-9	ZNRD1
Znrd1	ENSMUSG00000036315	unipolar depression	8e-9	ZNRD1
