Mouse.gene.name	Mouse.gene.stable.ID	Trait_name	P.VALUE	mapped_genes_human
Cntn1	ENSMUSG00000055022	Parkinson's disease	2e-27	CNTN1
Cntn4	ENSMUSG00000064293	autism spectrum disorder	5e-10	CNTN4
Cntn4	ENSMUSG00000064293	schizophrenia	1e-11	CNTN4
Cntn5	ENSMUSG00000039488	neuroticism	3e-9	CNTN5
Cpeb1	ENSMUSG00000025586	schizophrenia	3e-8	CPEB1
Crtap	ENSMUSG00000032431	unipolar depression	2e-8	CRTAP
Cryba1	ENSMUSG00000000724	unipolar depression	9e-9	CRYBA1
Csmd1	ENSMUSG00000060924	schizophrenia	2e-9	CSMD1
Ctnna2	ENSMUSG00000063063	Alzheimer's disease	1e-8	CTNNA2
Ctsb	ENSMUSG00000021939	Parkinson's disease	6e-12	CTSB
Cul3	ENSMUSG00000004364	schizophrenia	5e-12	CUL3
Cyp26b1	ENSMUSG00000063415	schizophrenia	7e-9	CYP26B1
Cyp2d11	ENSMUSG00000068085	autism spectrum disorder	4e-9	CYP2D7
Cyp2d11	ENSMUSG00000068085	schizophrenia	4e-9	CYP2D7
Cyp2d22	ENSMUSG00000061740	autism spectrum disorder	4e-9	CYP2D7
Cyp2d22	ENSMUSG00000061740	schizophrenia	4e-9	CYP2D7
Dcaf5	ENSMUSG00000049106	neuroticism	4e-8	DCAF5
Dcc	ENSMUSG00000060534	neuroticism	1e-13	DCC
Dcc	ENSMUSG00000060534	unipolar depression	1e-8	DCC
Ddn	ENSMUSG00000059213	bipolar disorder	1e-8	DDN
Ddr1	ENSMUSG00000003534	autism spectrum disorder	1e-8	DDR1
Ddr1	ENSMUSG00000003534	schizophrenia	1e-8	DDR1
Dennd1a	ENSMUSG00000035392	unipolar depression	3e-8	DENND1A
Dgkh	ENSMUSG00000034731	bipolar disorder	2e-8	DGKH
Dgki	ENSMUSG00000038665	autism spectrum disorder	6e-10	DGKI
Dgki	ENSMUSG00000038665	schizophrenia	4e-12	DGKI
Dgkq	ENSMUSG00000004815	Parkinson's disease	3e-12	DGKQ
Dgkz	ENSMUSG00000040479	schizophrenia	4e-11	DGKZ
Dlg2	ENSMUSG00000052572	Parkinson's disease	4e-9	DLG2
Ehmt2	ENSMUSG00000013787	autism spectrum disorder	5e-10	EHMT2
Ehmt2	ENSMUSG00000013787	schizophrenia	5e-10	EHMT2
Emx1	ENSMUSG00000033726	schizophrenia	2e-10	EMX1
Enox1	ENSMUSG00000022012	unipolar depression	3e-8	ENOX1
Epc2	ENSMUSG00000069495	schizophrenia	3e-8	EPC2
Ephx2	ENSMUSG00000022040	autism spectrum disorder	3e-9	EPHX2
Ephx2	ENSMUSG00000022040	schizophrenia	3e-9	EPHX2
Erbb2	ENSMUSG00000062312	bipolar disorder	5e-9	ERBB2
Eri1	ENSMUSG00000031527	neuroticism	2e-29	ERI1
Etf1	ENSMUSG00000024360	autism spectrum disorder	2e-9	ETF1
Etf1	ENSMUSG00000024360	schizophrenia	2e-9	ETF1
F2	ENSMUSG00000027249	autism spectrum disorder	3e-8	F2
F2	ENSMUSG00000027249	schizophrenia	3e-8	F2
Fads2	ENSMUSG00000024665	bipolar disorder	1e-10	FADS2
Fam172a	ENSMUSG00000064138	neuroticism	4e-8	FAM172A
Fam47e	ENSMUSG00000057068	Parkinson's disease	1e-14	FAM47E-STBD1, FAM47E
Fbln1	ENSMUSG00000006369	bipolar disorder	2e-8	FBLN1
Fgfr1	ENSMUSG00000031565	autism spectrum disorder	4e-9	FGFR1
Fgfr1	ENSMUSG00000031565	schizophrenia	4e-9	FGFR1
Fhit	ENSMUSG00000060579	autism spectrum disorder	1e-8	FHIT
Fhit	ENSMUSG00000060579	schizophrenia	1e-8	FHIT
Fhit	ENSMUSG00000060579	unipolar depression	7e-10	FHIT
Foxo3	ENSMUSG00000048756	schizophrenia	2e-11	FOXO3
Foxp1	ENSMUSG00000030067	autism spectrum disorder	1e-8	FOXP1
Foxp1	ENSMUSG00000030067	schizophrenia	1e-8	FOXP1
Foxp2	ENSMUSG00000029563	neuroticism	2e-8	FOXP2
Furin	ENSMUSG00000030530	autism spectrum disorder	1e-10	FURIN
Furin	ENSMUSG00000030530	schizophrenia	8e-14	FURIN
Gabbr1	ENSMUSG00000024462	neuroticism	1e-9	GABBR1
Gak	ENSMUSG00000062234	Parkinson's disease	3e-15	GAK
Galnt10	ENSMUSG00000020520	autism spectrum disorder	2e-10	GALNT10
Galnt10	ENSMUSG00000020520	schizophrenia	2e-10	GALNT10
Gata4	ENSMUSG00000021944	neuroticism	2e-23	GATA4
Gba	ENSMUSG00000028048	Parkinson's disease	5e-17	GBA
Gch1	ENSMUSG00000037580	Parkinson's disease	4e-16	GCH1
Ggt7	ENSMUSG00000027603	neuroticism	8e-9	GGT7
Gid4	ENSMUSG00000018415	schizophrenia	7e-10	GID4
Gigyf2	ENSMUSG00000048000	autism spectrum disorder	3e-10	GIGYF2
Gigyf2	ENSMUSG00000048000	schizophrenia	2e-12	GIGYF2
Glis3	ENSMUSG00000052942	neuroticism	5e-13	GLIS3
Gnao1	ENSMUSG00000031748	neuroticism	1e-8	GNAO1
Gphn	ENSMUSG00000047454	Parkinson's disease	7e-14	GPHN
Gpm6a	ENSMUSG00000031517	schizophrenia	1e-9	GPM6A
Gpnmb	ENSMUSG00000029816	Parkinson's disease	4e-18	GPNMB
Gpr65	ENSMUSG00000021886	Parkinson's disease	9e-11	GPR65
Gpx6	ENSMUSG00000004341	unipolar depression	4e-12	GPX6
Gramd1b	ENSMUSG00000040111	autism spectrum disorder	2e-9	GRAMD1B
Gramd1b	ENSMUSG00000040111	schizophrenia	4e-10	GRAMD1B
Grin2a	ENSMUSG00000059003	autism spectrum disorder	2e-9	GRIN2A
Grin2a	ENSMUSG00000059003	schizophrenia	2e-9	GRIN2A
Grm3	ENSMUSG00000003974	autism spectrum disorder	1e-10	GRM3
Grm3	ENSMUSG00000003974	neuroticism	2e-9	GRM3
Grm3	ENSMUSG00000003974	schizophrenia	7e-11	GRM3
Grm5	ENSMUSG00000049583	neuroticism	3e-10	GRM5
Grm5	ENSMUSG00000049583	unipolar depression	7e-11	GRM5
